Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
12984,0.00088,0.00996,11.23,White Dwarf,Blue White,B
29560,188000.0,6.02,-4.01,Main Sequence,Blue-white,B
8945,38.0,2.487,0.12,Main Sequence,Blue-White,A
14060,1092.0,5.745,-2.04,Main Sequence,Blue-white,A
16390,1278.0,5.68,-3.32,Main Sequence,Blue-white,B
25070,14500.0,5.92,-3.98,Main Sequence,Blue-white,B
28700,16790.0,6.4,-4.09,Main Sequence,Blue-white,B
26140,14520.0,5.49,-3.8,Main Sequence,Blue-white,B
20120,4720.0,6.78,-3.4,Main Sequence,Blue-white,B
13023,998.0,6.21,-1.38,Main Sequence,Blue-white,A
37800,202900.0,6.86,-4.56,Main Sequence,Blue,O
25390,223000.0,57.0,-5.92,Supergiant,Blue,O
11567,251000.0,36.0,-6.245,Supergiant,Blue,O
12675,452000.0,83.0,-5.62,Supergiant,Blue,O
5752,245000.0,97.0,-6.63,Supergiant,Blue,O
8927,239000.0,35.0,-7.34,Supergiant,Blue,O
7282,131000.0,24.0,-7.22,Supergiant,Blue,O
19923,152000.0,73.0,-5.69,Supergiant,Blue,O
26373,198000.0,39.0,-5.83,Supergiant,Blue,O
17383,342900.0,30.0,-6.09,Supergiant,Blue,O
9373,424520.0,24.0,-5.99,Supergiant,Blue,O
3570,320000.0,1480.0,-7.58,Hypergiant,Red,M
3500,138000.0,1420.0,-8.18,Hypergiant,Red,M
4287,630000.0,1315.0,-9.2,Hypergiant,Orange,K
26000,316000.0,1679.0,-9.1,Hypergiant,Blue,B
3600,240000.0,1190.0,-7.89,Hypergiant,Red,M
3614,145000.0,1553.0,-7.71,Hypergiant,Red,M
18000,200000.0,1045.0,-8.3,Hypergiant,Blue,O
11000,170000.0,1779.0,-9.9,Hypergiant,Blue-white,B
12100,120000.0,708.9,-7.84,Hypergiant,Blue-white,B
24490,248490.0,1134.5,-8.24,Hypergiant,Blue-white,B
2831,0.000231,0.0915,16.21,Brown Dwarf,Red,M
2914,0.0006309999999999999,0.11599999999999999,18.39,Brown Dwarf,Red,M
3419,0.000245,0.126,17.56,Brown Dwarf,Red,M
3218,0.000452,0.0987,17.34,Brown Dwarf,Red,M
3453,0.000621,0.0773,17.08,Brown Dwarf,Red,M
2889,0.000352,0.0973,16.93,Brown Dwarf,Red,M
2968,0.00046100000000000004,0.11900000000000001,17.45,Brown Dwarf,Red,M
3484,0.000551,0.0998,16.67,Brown Dwarf,Red,M
2778,0.000849,0.11199999999999999,19.45,Brown Dwarf,Red,M
3523,0.0009570000000000001,0.129,16.35,Brown Dwarf,Red,M
3462,0.0053,0.14800000000000002,11.47,Red Dwarf,Red,M
3257,0.0024,0.46,10.73,Red Dwarf,Red,M
2994,0.0072,0.28,13.45,Red Dwarf,Red,M
3212,0.0016,0.37799999999999995,12.854000000000001,Red Dwarf,Red,M
3523,0.0054,0.319,12.43,Red Dwarf,Red,M
3598,0.0027,0.67,13.667,Red Dwarf,Red,M
3142,0.00132,0.258,14.12,Red Dwarf,Red,M
3496,0.00125,0.336,14.94,Red Dwarf,Red,M
3324,0.0065,0.47100000000000003,12.78,Red Dwarf,Red,M
3463,0.0027,0.675,14.776,Red Dwarf,Red,M
16790,0.0014,0.0121,12.87,White Dwarf,Blue,B
15680,0.00122,0.0114,11.92,White Dwarf,Blue,B
14982,0.00118,0.0113,12.23,White Dwarf,Blue,B
13340,0.00109,0.0116,12.9,White Dwarf,Blue,B
18340,0.00134,0.0124,11.22,White Dwarf,Blue,B
19920,0.00156,0.0142,11.34,White Dwarf,Blue,B
24020,0.00159,0.0127,10.55,White Dwarf,Blue,B
23092,0.00132,0.0104,10.18,White Dwarf,Blue,B
17920,0.0011099999999999999,0.0106,11.66,White Dwarf,Blue,B
19360,0.00125,0.00998,11.62,White Dwarf,Blue,B
22350,12450.0,6.36,-3.67,Main Sequence,Blue-white,B
10012,552.0,5.856,0.013000000000000001,Main Sequence,Blue-white,A
13089,788.0,5.992000000000001,-0.12,Main Sequence,Blue-white,A
22012,6748.0,6.64,-2.55,Main Sequence,Blue-white,B
34190,198200.0,6.39,-4.57,Main Sequence,Blue,O
32460,173800.0,6.237,-4.36,Main Sequence,Blue,O
9320,29.0,1.91,1.236,Main Sequence,Blue-white,A
19400,10920.0,6.03,-3.08,Main Sequence,Blue-white,B
17140,883.0,5.653,-2.64,Main Sequence,Blue-white,B
8250,9.25,1.93,-0.98,Main Sequence,yellow-white,F
23678,244290.0,35.0,-6.27,Supergiant,Blue,O
12749,332520.0,76.0,-7.02,Supergiant,Blue,O
9383,342940.0,98.0,-6.98,Supergiant,Blue,O
23440,537430.0,81.0,-5.975,Supergiant,Blue,O
16787,246730.0,62.0,-6.35,Supergiant,Blue,O
18734,224780.0,46.0,-7.45,Supergiant,Blue,O
9892,593900.0,80.0,-7.2620000000000005,Supergiant,Blue,O
10930,783930.0,25.0,-6.224,Supergiant,Blue,O
23095,347820.0,86.0,-5.905,Supergiant,Blue,O
21738,748890.0,92.0,-7.346,Supergiant,Blue,O
24145,382993.0,1494.0,-8.84,Hypergiant,Blue-white,B
38234,272830.0,1356.0,-9.29,Hypergiant,Blue,O
32489,648430.0,1948.5,-10.84,Hypergiant,Blue,O
27739,849420.0,1252.0,-7.59,Hypergiant,Blue-white,B
21904,748490.0,1130.0,-7.67,Hypergiant,Blue-white,B
38940,374830.0,1356.0,-9.93,Hypergiant,Blue,O
30839,834042.0,1194.0,-10.63,Hypergiant,Blue,O
8829,537493.0,1423.0,-10.73,Hypergiant,White,A
9235,404940.0,1112.0,-11.23,Hypergiant,White,A
37882,294903.0,1783.0,-7.8,Hypergiant,Blue,O
